12-Jun-2020;;;;;;;;;;;;;;;
iShares MSCI Emerging Markets Asia ETF;;;;;;;;;;;;;;;
Inception Date;Feb 08, 2012;;;;;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;;;;;
Number of Securities (excluding cash and derivatives);892.00;;;;;;;;;;;;;;
Shares Outstanding;7,250,000.00;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange;Location;Currency;Market Currency;FX Rate
BABA;ALIBABA GROUP HOLDING ADR REPRESEN;Equity;8,48;217,64;187 050,00;40 709 562,00;40 709 562,00;Consumer Discretionary;BP41ZD1;US01609W1027;New York Stock Exchange Inc.;China;USD;USD;1,00
700;TENCENT HOLDINGS LTD;Equity;6,72;56,90;566 800,00;32 252 332,23;32 252 332,23;Communication;BMMV2K8;KYG875721634;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2330;TAIWAN SEMICONDUCTOR MANUFACTURING;Equity;5,25;10,65;2 366 000,00;25 205 002,87;25 205 002,87;Information Technology;6889106;TW0002330008;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
005930;SAMSUNG ELECTRONICS LTD;Equity;4,15;43,45;458 115,00;19 903 152,10;19 903 152,10;Information Technology;6771720;KR7005930003;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
939;CHINA CONSTRUCTION BANK CORP H;Equity;1,75;0,80;10 492 000,00;8 393 491,70;8 393 491,70;Financials;B0LMTQ3;CNE1000002H1;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2318;PING AN INSURANCE (GROUP) CO OF CH;Equity;1,41;10,40;652 500,00;6 785 912,44;6 785 912,44;Financials;B01FLR7;CNE1000003X6;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
RELIANCE;RELIANCE INDUSTRIES LTD;Equity;1,38;20,95;316 214,00;6 623 391,49;6 623 391,49;Energy;6099626;INE002A01018;National Stock Exchange Of India;India;USD;INR;75,85
JD;JD.COM ADR REPRESENTING INC;Equity;1,01;57,99;83 241,00;4 827 145,59;4 827 145,59;Consumer Discretionary;BMM27D9;US47215P1066;NASDAQ;China;USD;USD;1,00
941;CHINA MOBILE LTD;Equity;0,99;7,00;682 000,00;4 773 938,40;4 773 938,40;Communication;6073556;HK0941009539;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
1398;INDUSTRIAL AND COMMERCIAL BANK OF;Equity;0,94;0,66;6 815 000,00;4 502 238,68;4 502 238,68;Financials;B1G1QD8;CNE1000003G1;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
3690;MEITUAN DIANPING;Equity;0,93;21,37;208 400,00;4 452 979,96;4 452 979,96;Consumer Discretionary;BGJW376;KYG596691041;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
HDFC;HOUSING DEVELOPMENT FINANCE CORPOR;Equity;0,92;23,63;186 023,00;4 395 246,31;4 395 246,31;Financials;6171900;INE001A01036;National Stock Exchange Of India;India;USD;INR;75,85
000660;SK HYNIX INC;Equity;0,91;70,78;61 429,00;4 347 691,31;4 347 691,31;Information Technology;6450267;KR7000660001;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
NTES;NETEASE ADR INC;Equity;0,79;409,48;9 280,00;3 799 974,40;3 799 974,40;Communication;2606440;US64110W1027;NASDAQ;China;USD;USD;1,00
2317;HON HAI PRECISION INDUSTRY LTD;Equity;0,77;2,63;1 411 651,00;3 711 990,63;3 711 990,63;Information Technology;6438564;TW0002317005;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
BIDU;BAIDU ADR REPTG INC CLASS A;Equity;0,75;116,27;31 128,00;3 619 252,56;3 619 252,56;Communication;B0FXT17;US0567521085;NASDAQ;China;USD;USD;1,00
INFY;INFOSYS LTD;Equity;0,74;9,12;388 411,00;3 543 717,51;3 543 717,51;Information Technology;6205122;INE009A01021;National Stock Exchange Of India;India;USD;INR;75,85
3988;BANK OF CHINA LTD H;Equity;0,70;0,37;8 992 000,00;3 364 704,97;3 364 704,97;Financials;B154564;CNE1000001Z5;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2454;MEDIATEK INC;Equity;0,61;16,60;175 176,00;2 908 477,90;2 908 477,90;Information Technology;6372480;TW0002454006;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
