12-Jun-2020;;;;;;;;;;;;;;;
iShares MSCI Emerging Markets ETF;;;;;;;;;;;;;;;
Inception Date;Apr 07, 2003;;;;;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;;;;;
Number of Securities (excluding cash and derivatives);1,209.00;;;;;;;;;;;;;;
Shares Outstanding;545,400,000.00;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange;Location;Currency;Market Currency;FX Rate
BABA;ALIBABA GROUP HOLDING ADR REPRESEN;Equity;7,05;217,64;7 050 183,00;1 534 401 828,12;1 534 401 828,12;Consumer Discretionary;BP41ZD1;US01609W1027;New York Stock Exchange Inc.;China;USD;USD;1,00
700;TENCENT HOLDINGS LTD;Equity;5,63;56,90;21 515 800,00;1 224 302 628,35;1 224 302 628,35;Communication;BMMV2K8;KYG875721634;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2330;TAIWAN SEMICONDUCTOR MANUFACTURING;Equity;4,52;10,65;92 403 000,00;984 369 349,02;984 369 349,02;Information Technology;6889106;TW0002330008;Taiwan Stock Exchange;Taiwan;USD;TWD;29,66
005930;SAMSUNG ELECTRONICS LTD;Equity;3,57;43,45;17 903 978,00;777 851 843,66;777 851 843,66;Information Technology;6771720;KR7005930003;Korea Exchange (Stock Market);Korea (South);USD;KRW;1 203,80
NPN;NASPERS LIMITED N LTD;Equity;1,34;174,07;1 669 641,00;290 635 251,03;290 635 251,03;Consumer Discretionary;6622691;ZAE000015889;Johannesburg Stock Exchange;South Africa;USD;ZAR;17,12
939;CHINA CONSTRUCTION BANK CORP H;Equity;1,32;0,80;360 010 760,00;288 004 891,81;288 004 891,81;Financials;B0LMTQ3;CNE1000002H1;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
3690;MEITUAN DIANPING;Equity;1,31;21,37;13 335 200,00;284 939 435,62;284 939 435,62;Consumer Discretionary;BGJW376;KYG596691041;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
2318;PING AN INSURANCE (GROUP) CO OF CH;Equity;1,05;10,40;22 077 000,00;229 597 837,45;229 597 837,45;Financials;B01FLR7;CNE1000003X6;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
RELIANCE;RELIANCE INDUSTRIES LTD;Equity;1,03;20,95;10 714 212,00;224 418 971,37;224 418 971,37;Energy;6099626;INE002A01018;National Stock Exchange Of India;India;USD;INR;75,85
XTSLA;BLK CSH FND TREASURY SL AGENCY;Money Market;0,75;1,00;164 220 000,00;164 219 999,99;164 219 999,99;Cash and/or Derivatives;--;US0669224778;--;United States;USD;USD;1,00
JD;JD.COM ADR REPRESENTING INC;Equity;0,74;57,99;2 795 106,00;162 088 196,94;162 088 196,94;Consumer Discretionary;BMM27D9;US47215P1066;NASDAQ;China;USD;USD;1,00
941;CHINA MOBILE LTD;Equity;0,74;7,00;23 045 500,00;161 316 418,50;161 316 418,50;Communication;6073556;HK0941009539;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
1398;INDUSTRIAL AND COMMERCIAL BANK OF;Equity;0,69;0,66;225 709 085,00;149 111 690,84;149 111 690,84;Financials;B1G1QD8;CNE1000003G1;Hong Kong Exchanges And Clearing Ltd;China;USD;HKD;7,75
HDFC;HOUSING DEVELOPMENT FINANCE CORPOR;Equity;0,67;23,63;6 177 647,00;145 961 951,86;145 961 951,86;Financials;6171900;INE001A01036;National Stock Exchange Of India;India;USD;INR;75,85
