12-Jun-2020;;;;
iShares NASDAQ 100 UCITS ETF USD (Acc);;;;
;;;;
ISIN;Name;Location;Weight (%);Sector
US0378331005;APPLE INC;United States;11,84;Information Technology
US5949181045;MICROSOFT CORP;United States;11,40;Information Technology
US0231351067;AMAZON COM INC;United States;10,12;Consumer Discretionary
US30303M1027;FACEBOOK CLASS A INC;United States;4,39;Communication
US02079K3059;ALPHABET INC CLASS A;United States;3,88;Communication
US02079K1079;ALPHABET INC CLASS C;United States;3,85;Communication
US4581401001;INTEL CORPORATION CORP;United States;2,58;Information Technology
US67066G1040;NVIDIA CORP;United States;2,23;Information Technology
US00724F1012;ADOBE INC;United States;2,00;Information Technology
US17275R1023;CISCO SYSTEMS INC;United States;1,95;Information Technology
US64110L1061;NETFLIX INC;United States;1,87;Communication
US70450Y1038;PAYPAL HOLDINGS INC;United States;1,85;Information Technology
US20030N1019;COMCAST CORP CLASS A;United States;1,83;Communication
US7134481081;PEPSICO INC;United States;1,82;Consumer Staples
US88160R1014;TESLA INC;United States;1,75;Consumer Discretionary
US22160K1051;COSTCO WHOLESALE CORP;United States;1,34;Consumer Staples
US0311621009;AMGEN INC;United States;1,31;Health Care
US8725901040;T MOBILE US INC;United States;1,28;Communication
US11135F1012;BROADCOM INC;United States;1,22;Information Technology
US8825081040;TEXAS INSTRUMENT INC;United States;1,17;Information Technology
US16119P1084;CHARTER COMMUNICATIONS INC CLASS A;United States;1,11;Communication
US7475251036;QUALCOMM INC;United States;0,99;Information Technology
US3755581036;GILEAD SCIENCES INC;United States;0,95;Health Care
US8552441094;STARBUCKS CORP;United States;0,91;Consumer Discretionary
US4612021034;INTUIT INC;United States;0,75;Information Technology
US6092071058;MONDELEZ INTERNATIONAL INC CLASS A;United States;0,74;Consumer Staples
US92532F1003;VERTEX PHARMACEUTICALS INC;United States;0,71;Health Care
US3377381088;FISERV INC;United States;0,70;Information Technology
US09857L1089;BOOKING HOLDINGS INC;United States;0,68;Consumer Discretionary
US46120E6023;INTUITIVE SURGICAL INC;United States;0,66;Health Care
US0530151036;AUTOMATIC DATA PROCESSING INC;United States;0,65;Information Technology
US75886F1075;REGENERON PHARMACEUTICALS INC;United States;0,65;Health Care
US0079031078;ADVANCED MICRO DEVICES INC;United States;0,64;Information Technology
US00507V1098;ACTIVISION BLIZZARD INC;United States;0,56;Communication
US5951121038;MICRON TECHNOLOGY INC;United States;0,55;Information Technology
US47215P1066;JD.COM ADR REPRESENTING INC;China;0,55;Consumer Discretionary
US1264081035;CSX CORP;United States;0,55;Industrials
US0382221051;APPLIED MATERIAL INC;United States;0,53;Information Technology
US4523271090;ILLUMINA INC;United States;0,51;Health Care
US0527691069;AUTODESK INC;United States;0,50;Information Technology
US09062X1037;BIOGEN INC;United States;0,50;Health Care
US58733R1023;MERCADOLIBRE INC;United States;0,46;Consumer Discretionary
US0326541051;ANALOG DEVICES INC;United States;0,45;Information Technology
US5128071082;LAM RESEARCH CORP;United States;0,42;Information Technology
US5007541064;KRAFT HEINZ;United States;0,40;Consumer Staples
US9314271084;WALGREEN BOOTS ALLIANCE INC;United States;0,38;Consumer Staples
US30161N1019;EXELON CORP;United States;0,38;Utilities
US61174X1090;MONSTER BEVERAGE CORP;United States;0,38;Consumer Staples
US5500211090;LULULEMON ATHLETICA INC;United States;0,37;Consumer Discretionary
