12-Jun-2020;;;;;;;;;;;
iShares Russell 1000 Growth ETF;;;;;;;;;;;
Inception Date;May 22, 2000;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;
Number of Securities (excluding cash and derivatives);532.00;;;;;;;;;;
Shares Outstanding;283,850,000.00;;;;;;;;;;
;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange
MSFT;MICROSOFT CORP;Equity;8,91;187,74;24 875 632,00;4 670 151 151,68;4 670 151 151,68;Information Technology;2588173;US5949181045;NASDAQ
AAPL;APPLE INC;Equity;8,76;338,80;13 557 921,00;4 593 423 634,80;4 593 423 634,80;Information Technology;2046251;US0378331005;NASDAQ
AMZN;AMAZON COM INC;Equity;6,68;2 545,02;1 375 346,00;3 500 283 076,92;3 500 283 076,92;Consumer Discretionary;2000019;US0231351067;NASDAQ
FB;FACEBOOK CLASS A INC;Equity;3,43;228,58;7 859 672,00;1 796 563 825,76;1 796 563 825,76;Communication;B7TL820;US30303M1027;NASDAQ
GOOG;ALPHABET INC CLASS C;Equity;2,66;1 413,18;986 080,00;1 393 508 534,40;1 393 508 534,40;Communication;BYY88Y7;US02079K1079;NASDAQ
GOOGL;ALPHABET INC CLASS A;Equity;2,65;1 412,92;984 715,00;1 391 323 517,80;1 391 323 517,80;Communication;BYVY8G0;US02079K3059;NASDAQ
V;VISA INC CLASS A;Equity;2,07;192,26;5 634 851,00;1 083 356 453,26;1 083 356 453,26;Information Technology;B2PZN04;US92826C8394;New York Stock Exchange Inc.
UNH;UNITEDHEALTH GROUP INC;Equity;1,69;285,15;3 108 308,00;886 334 026,20;886 334 026,20;Health Care;2917766;US91324P1021;New York Stock Exchange Inc.
MA;MASTERCARD INC CLASS A;Equity;1,66;297,79;2 915 784,00;868 291 317,36;868 291 317,36;Information Technology;B121557;US57636Q1040;New York Stock Exchange Inc.
NVDA;NVIDIA CORP;Equity;1,31;357,30;1 918 806,00;685 589 383,80;685 589 383,80;Information Technology;2379504;US67066G1040;NASDAQ
ADBE;ADOBE INC;Equity;1,23;406,54;1 582 314,00;643 273 933,56;643 273 933,56;Information Technology;2008154;US00724F1012;NASDAQ
