12-Jun-2020;;;;;;;;;;;
iShares Core S&P 500 ETF;;;;;;;;;;;
Inception Date;May 15, 2000;;;;;;;;;;
Fund Holdings as of;Jun 12, 2020;;;;;;;;;;
Number of Securities (excluding cash and derivatives);505.00;;;;;;;;;;
Shares Outstanding;616,550,000.00;;;;;;;;;;
;;;;;;;;;;;
Ticker;Name;Asset Class;Weight (%);Price;Shares;Market Value;Notional Value;Sector;SEDOL;ISIN;Exchange
MSFT;MICROSOFT CORP;Equity;5,64;187,74;57 467 689,00;10 788 983 932,86;10 788 983 932,86;Information Technology;2588173;US5949181045;NASDAQ
AAPL;APPLE INC;Equity;5,58;338,80;31 462 796,00;10 659 595 284,80;10 659 595 284,80;Information Technology;2046251;US0378331005;NASDAQ
AMZN;AMAZON COM INC;Equity;4,18;2 545,02;3 137 288,00;7 984 460 705,76;7 984 460 705,76;Consumer Discretionary;2000019;US0231351067;NASDAQ
FB;FACEBOOK CLASS A INC;Equity;2,17;228,58;18 127 897,00;4 143 674 696,26;4 143 674 696,26;Communication;B7TL820;US30303M1027;NASDAQ
GOOGL;ALPHABET INC CLASS A;Equity;1,67;1 412,92;2 257 075,00;3 189 066 409,00;3 189 066 409,00;Communication;BYVY8G0;US02079K3059;NASDAQ
GOOG;ALPHABET INC CLASS C;Equity;1,66;1 413,18;2 251 539,00;3 181 829 884,02;3 181 829 884,02;Communication;BYY88Y7;US02079K1079;NASDAQ
JNJ;JOHNSON & JOHNSON;Equity;1,47;142,15;19 825 889,00;2 818 250 121,35;2 818 250 121,35;Health Care;2475833;US4781601046;New York Stock Exchange Inc.
BRKB;BERKSHIRE HATHAWAY INC CLASS B;Equity;1,40;181,21;14 734 813,00;2 670 095 463,73;2 670 095 463,73;Financials;2073390;US0846707026;New York Stock Exchange Inc.
V;VISA INC CLASS A;Equity;1,30;192,26;12 895 253,00;2 479 241 341,78;2 479 241 341,78;Information Technology;B2PZN04;US92826C8394;New York Stock Exchange Inc.
JPM;JPMORGAN CHASE & CO;Equity;1,23;99,87;23 627 093,00;2 359 637 777,91;2 359 637 777,91;Financials;2190385;US46625H1005;New York Stock Exchange Inc.
PG;PROCTER & GAMBLE;Equity;1,14;115,62;18 785 890,00;2 172 024 601,80;2 172 024 601,80;Consumer Staples;2704407;US7427181091;New York Stock Exchange Inc.
UNH;UNITEDHEALTH GROUP INC;Equity;1,06;285,15;7 136 863,00;2 035 076 484,45;2 035 076 484,45;Health Care;2917766;US91324P1021;New York Stock Exchange Inc.
HD;HOME DEPOT INC;Equity;1,04;242,45;8 217 196,00;1 992 259 170,20;1 992 259 170,20;Consumer Discretionary;2434209;US4370761029;New York Stock Exchange Inc.
MA;MASTERCARD INC CLASS A;Equity;1,04;297,79;6 687 249,00;1 991 395 879,71;1 991 395 879,71;Information Technology;B121557;US57636Q1040;New York Stock Exchange Inc.
INTC;INTEL CORPORATION CORP;Equity;1,02;59,33;32 768 380,00;1 944 147 985,40;1 944 147 985,40;Information Technology;2463247;US4581401001;NASDAQ
VZ;VERIZON COMMUNICATIONS INC;Equity;0,92;56,53;31 154 845,00;1 761 183 387,85;1 761 183 387,85;Communication;2090571;US92343V1044;New York Stock Exchange Inc.
T;AT&T INC;Equity;0,88;30,50;55 028 519,00;1 678 369 829,50;1 678 369 829,50;Communication;2831811;US00206R1023;New York Stock Exchange Inc.
NVDA;NVIDIA CORP;Equity;0,86;357,30;4 610 172,00;1 647 214 455,60;1 647 214 455,60;Information Technology;2379504;US67066G1040;NASDAQ
DIS;WALT DISNEY;Equity;0,82;115,49;13 577 476,00;1 568 062 703,24;1 568 062 703,24;Communication;2270726;US2546871060;New York Stock Exchange Inc.
BAC;BANK OF AMERICA CORP;Equity;0,79;24,78;60 984 026,00;1 511 184 164,28;1 511 184 164,28;Financials;2295677;US0605051046;New York Stock Exchange Inc.
XOM;EXXON MOBIL CORP;Equity;0,79;47,17;31 872 883,00;1 503 443 891,11;1 503 443 891,11;Energy;2326618;US30231G1022;New York Stock Exchange Inc.
ADBE;ADOBE INC;Equity;0,78;406,54;3 646 543,00;1 482 465 591,22;1 482 465 591,22;Information Technology;2008154;US00724F1012;NASDAQ
MRK;MERCK & CO INC;Equity;0,77;76,30;19 178 872,00;1 463 347 933,60;1 463 347 933,60;Health Care;2778844;US58933Y1055;New York Stock Exchange Inc.
CSCO;CISCO SYSTEMS INC;Equity;0,75;45,07;31 956 946,00;1 440 299 556,22;1 440 299 556,22;Information Technology;2198163;US17275R1023;NASDAQ
PFE;PFIZER INC;Equity;0,74;33,75;41 688 485,00;1 406 986 368,75;1 406 986 368,75;Health Care;2684703;US7170811035;New York Stock Exchange Inc.
NFLX;NETFLIX INC;Equity;0,72;418,07;3 301 361,00;1 380 199 993,27;1 380 199 993,27;Communication;2857817;US64110L1061;NASDAQ
